web-scraper-start-url,title,author,image-src,Year,URL-href
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The Fourth Estate,Jeffrey Archer,//covers.openlibrary.org/b/olid/OL15531963M-M.jpg,First published in 1996,https://openlibrary.org/works/OL1807120W?edition=ia%3Afourthestate0000arch_g8v6
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The Sixth Man,David Baldacci,//covers.openlibrary.org/b/olid/OL37746055M-M.jpg,First published in 2011,https://openlibrary.org/works/OL15662421W?edition=ia%3Asixthman0000bald_y9r7
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The gate house,Nelson DeMille,//covers.openlibrary.org/b/olid/OL39794986M-M.jpg,First published in 2008,https://openlibrary.org/works/OL22898W?edition=ia%3Aledomaine0000demi
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,Those who walk away,Patricia Highsmith,//covers.openlibrary.org/b/olid/OL32113699M-M.jpg,First published in 1967,https://openlibrary.org/works/OL59487W?edition=ia%3Avenedigkannsehrk0000high
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The Final Detail,Harlan Coben,//covers.openlibrary.org/b/olid/OL28417358M-M.jpg,First published in 1999,https://openlibrary.org/works/OL79333W?edition=ia%3Afinaldetail0000cobe_k8z4
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,Written in Bone,Simon Beckett,//covers.openlibrary.org/b/olid/OL39816891M-M.jpg,First published in 2007,https://openlibrary.org/works/OL3475315W?edition=ia%3Ascrittonelleossa0000beck
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,Relentless,Dean Koontz,//covers.openlibrary.org/b/olid/OL29050820M-M.jpg,First published in 2009,https://openlibrary.org/works/OL497104W?edition=ia%3Arelentless0000koon_w7a3
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,"Cry of the Owl, the",Patricia Highsmith,//covers.openlibrary.org/b/olid/OL18634698M-M.jpg,First published in 1962,https://openlibrary.org/works/OL59431W?edition=ia%3Alecriduhibou0000high
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,A Good Girl's Guide to Murder,Holly Jackson,//covers.openlibrary.org/b/olid/OL27915101M-M.jpg,First published in 2019,https://openlibrary.org/works/OL20646061W
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,White Shark,Peter Benchley,//covers.openlibrary.org/b/olid/OL22836501M-M.jpg,First published in 1973,https://openlibrary.org/works/OL3454858W?edition=ia%3Awhiteshark0000benc_z6u4
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,Double indemnity,James M. Cain,//covers.openlibrary.org/b/olid/OL4572104M-M.jpg,First published in 1943,https://openlibrary.org/works/OL3480773W?edition=ia%3Adoubleindemnity00cain_0
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,Metro girl,Janet Evanovich,//covers.openlibrary.org/b/olid/OL23037278M-M.jpg,First published in 2004,https://openlibrary.org/works/OL48064W?edition=ia%3Ametrogirl0000evan_c8k6
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The Last Mile,David Baldacci,//covers.openlibrary.org/b/olid/OL28017409M-M.jpg,First published in 1959,https://openlibrary.org/works/OL17357359W?edition=ia%3Alastmile0000bald_l5e2
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,An Unkindness of Ravens,Ruth Rendell,//covers.openlibrary.org/b/olid/OL20939297M-M.jpg,First published in 1985,https://openlibrary.org/works/OL12116W?edition=ia%3Aunkindnessofrave00rend
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,Judge & Jury,James Patterson,//covers.openlibrary.org/b/olid/OL26339325M-M.jpg,First published in 2006,https://openlibrary.org/works/OL5337430W?edition=ia%3Ajudgejurylargepr00jame
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The lake of darkness,Ruth Rendell,//covers.openlibrary.org/b/olid/OL4404007M-M.jpg,First published in 1980,https://openlibrary.org/works/OL12079W?edition=ia%3Alakeofdarkness00rend
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,El juego de Ripper,Isabel Allende,//covers.openlibrary.org/b/olid/OL35727243M-M.jpg,First published in 2013,https://openlibrary.org/works/OL16816869W?edition=ia%3Aamandassucheroma0000alle
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,//covers.openlibrary.org/b/olid/OL27375698M-M.jpg,First published in 2018,https://openlibrary.org/works/OL17929039W
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,Nightwing,Martin Cruz Smith,//covers.openlibrary.org/b/olid/OL35869640M-M.jpg,First published in 1977,https://openlibrary.org/works/OL874067W?edition=ia%3Anightwing0000smit
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=20,The Last Hope,"Merriman, Henry Seton",//covers.openlibrary.org/b/olid/OL7219481M-M.jpg,First published in 1904,https://openlibrary.org/works/OL2337704W?edition=ia%3Alasthope00merrgoog
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Bones,Edgar Wallace,//covers.openlibrary.org/b/olid/OL7204236M-M.jpg,First published in 1920,https://openlibrary.org/works/OL1517853W?edition=ia%3Abonesbeingfurthe00walliala
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Zomerhuis met zwembad,Herman Koch,//covers.openlibrary.org/b/olid/OL32904500M-M.jpg,First published in 2013,https://openlibrary.org/works/OL16021831W?edition=ia%3Avillaavecpiscine0000koch
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Career of Evil,J. K. Rowling,//covers.openlibrary.org/b/olid/OL32784541M-M.jpg,First published in 2015,https://openlibrary.org/works/OL17864259W?edition=ia%3Acareerofevil0000galb_b8y2
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Hannibal Rising,Thomas Harris,//covers.openlibrary.org/b/olid/OL33891500M-M.jpg,First published in 2006,https://openlibrary.org/works/OL138395W?edition=ia%3Ahannibalrisingno0000harr_k3b6
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,The Escape,David Baldacci,//covers.openlibrary.org/b/olid/OL31917652M-M.jpg,First published in 1970,https://openlibrary.org/works/OL17124774W?edition=ia%3Aescape0000bald_n9f6
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Code SSN,Tom Clancy,//covers.openlibrary.org/b/olid/OL7255848M-M.jpg,First published in 1996,https://openlibrary.org/works/OL159363W?edition=ia%3Assnstrategiesofs0000clan_c4i2
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Before I say goodbye,Mary Higgins Clark,//covers.openlibrary.org/b/olid/OL23269718M-M.jpg,First published in 2000,https://openlibrary.org/works/OL13062W?edition=ia%3Abeforeisaygoodby00clar
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Two for the dough: a Stephanie Plum novel,Janet Evanovich,//covers.openlibrary.org/b/olid/OL24935212M-M.jpg,First published in 1996,https://openlibrary.org/works/OL48061W?edition=ia%3Atwofordoughsteph00evan
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,My Brother Michael,Mary Stewart,//covers.openlibrary.org/b/olid/OL25418094M-M.jpg,First published in 1960,https://openlibrary.org/works/OL213265W?edition=ia%3Amybrothermicha00stew
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Cryptonomicon,Neal Stephenson,//covers.openlibrary.org/b/olid/OL31978677M-M.jpg,First published in 1999,https://openlibrary.org/works/OL38494W?edition=ia%3Acryptonomicon0000step_f8p6
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,End Game,David Baldacci,//covers.openlibrary.org/b/olid/OL37746094M-M.jpg,First published in 2017,https://openlibrary.org/works/OL19356256W?edition=ia%3Aisbn_9781538745595
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Trevayne,Robert Ludlum,//covers.openlibrary.org/b/olid/OL7984639M-M.jpg,First published in 1973,https://openlibrary.org/works/OL2664915W?edition=ia%3Atrevayne0000ludl_p6c7
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,One False Move,Harlan Coben,//covers.openlibrary.org/b/olid/OL30624808M-M.jpg,First published in 1998,https://openlibrary.org/works/OL79320W?edition=ia%3Aonefalsemove0000cobe_t2v8
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Kiss the Girls,James Patterson,//covers.openlibrary.org/b/olid/OL22355755M-M.jpg,First published in 1995,https://openlibrary.org/works/OL167171W?edition=ia%3Aisbn_B000VE05Y6_0
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Henry Dunbar,M. E. Braddon,/images/icons/avatar_book-sm.png,First published in 2008,https://openlibrary.org/works/OL21439901W
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,WW III,Ian Slater,//covers.openlibrary.org/b/olid/OL7565085M-M.jpg,First published in 1990,https://openlibrary.org/works/OL3966802W?edition=ia%3Awwiiiarcticfront00slat
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Divine Justice,David Baldacci,//covers.openlibrary.org/b/olid/OL37745351M-M.jpg,First published in 2008,https://openlibrary.org/works/OL14949693W?edition=ia%3Adivinejustice0000bald_x4s7
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Remote control,Andy McNab,//covers.openlibrary.org/b/olid/OL19713271M-M.jpg,First published in 1997,https://openlibrary.org/works/OL1978010W?edition=ia%3Aremotecontrol0000mcna_d6f4
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Dance Hall of the Dead CD Low Price,Tony Hillerman,//covers.openlibrary.org/b/olid/OL5412939M-M.jpg,First published in 1973,https://openlibrary.org/works/OL55903W?edition=ia%3Adancehallofdead00hillx
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=19,Games of state,Jeff Rovin,//covers.openlibrary.org/b/olid/OL7503809M-M.jpg,First published in 1996,https://openlibrary.org/works/OL257969W?edition=ia%3Atomclancysopcent1996clan
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=18,The Adventures of Sherlock Holmes,Arthur Conan Doyle,/images/icons/avatar_book-sm.png,First published in 2008,https://openlibrary.org/works/OL26296557W
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=18,Rose,Martin Cruz Smith,//covers.openlibrary.org/b/olid/OL32138742M-M.jpg,First published in 1996,https://openlibrary.org/works/OL874049W?edition=ia%3Arose0000smit_y6d4
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=18,Many Dimensions,Williams,//covers.openlibrary.org/b/olid/OL24927297M-M.jpg,First published in 1931,https://openlibrary.org/works/OL268399W?edition=ia%3Amanydimensions00will
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=18,Charade,Sandra Brown,//covers.openlibrary.org/b/olid/OL1085365M-M.jpg,First published in 1994,https://openlibrary.org/works/OL167305W?edition=ia%3Acharade0000brow
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=18,False Impression,Jeffrey Archer,//covers.openlibrary.org/b/olid/OL32649576M-M.jpg,First published in 2005,https://openlibrary.org/works/OL1807118W?edition=ia%3Afalseimpression0000arch_x6g6
https://openlibrary.org/search?subject=Fiction%2C+thrillers%2C+general&page=18,Lost Souls,Lisa Jackson,//covers.openlibrary.org/b/olid/OL24789334M-M.jpg,First published in 2008,https://openlibrary.org/works/OL5683346W?edition=ia%3Alostsouls00jack
